(13.30970104544292, 14.807553030871672)
(12.457557158426772, 30.463087093371634)
(29.74654094233655, 14.236069209469477)
(13.976253975090303, 19.2009336384141)
(16.54807592459629, 19.096581998263773)
(13.255324717590526, 31.78177417749801)
(13.255324717590526, 31.78177417749801)
(28.02019815418459, 29.226572405096373)
(28.02019815418459, 29.226572405096373)
(27.28202735290197, 43.367116953435136)
(54.30653101496445, 55.5086065886033)
(35.351800727855135, 55.96512308608217)
(35.351800727855135, 55.96512308608217)
(72.30397384923535, 55.56625636421247)
(47.681178638457105, 62.464647628028956)
(103.18435823721391, 68.03020410958337)
(68.08032644049358, 101.81559246284799)
(68.08032644049358, 101.81559246284799)
(77.39104971062041, 87.96071187614884)
(77.39104971062041, 87.96071187614884)
