(-7.451987120092096, -5.6089590349674445)
(-3.470338412372772, -8.433794612961568)
(-3.456129492486807, -8.448636774419679)
(-9.79061500924127, -0.5650488330893131)
(-2.9434145748960434, -10.0)
(-9.879773282165871, -0.3281259570276238)
(-3.2816223597125984, -9.443316104110485)
(-3.365838436510654, -8.469845775515884)
(-10.0, -0.007787297191444775)
(-9.53186540620695, -1.4706581701737376)
(-2.284770274861678, -10.0)
(-3.2102196530573974, -8.548732479885604)
(-2.580243456724551, -9.31588487983774)
(-10.0, 0.0650041019059211)
(-8.46704595011013, -0.9108171473257438)
(-8.549162029484165, -0.8464797175696632)
(-8.302509281399837, -1.1401365215823196)
(-8.922358424932979, -0.42471408306946934)
(-9.34372541449693, -0.2621839976052027)
(-1.47079352296455, -10.0)
