(-7.451987120092096, -5.6089590349674445)
(-2.3599965795386373, -8.506790536660342)
(-3.470338412372772, -8.433794612961568)
(-2.284770274861678, -10.0)
(-10.0, 0.0650041019059211)
(-2.1402016615247046, -9.285366070165384)
(-1.869666846323108, -10.0)
(-2.2829169678041685, -8.158406332654641)
(-10.0, 0.39352948057900816)
(-7.984284914412259, 0.29762368769315994)
(-2.1079485132134295, -9.217379031619043)
(-1.7424742359713046, -10.0)
(-2.1799765159483924, -7.999545903943213)
(-10.0, 0.4869135200523047)
(-6.3918351610311746, 0.3613617919416354)
(-1.2510215134273013, -10.0)
(-10.0, 1.1904267134873607)
(-3.156926652567437, 0.5534840671882378)
(-1.8537548124280827, -7.701969498432574)
(-8.809893230991666, 0.5701543408094767)
