(6.182166490000968E-4, 1.9999782910739825)
(6.182166490000968E-4, 1.9999782910739825)
(6.182166490000968E-4, 1.9999782910739825)
(6.182166490000968E-4, 1.9999782910739825)
(-0.0018841242576566868, 8.768101058395318E-5)
(-0.0018841242576566868, 8.768101058395318E-5)
(-2.0144571531256E-4, 1.3702059446257797)
(-2.0144571531256E-4, 1.3702059446257797)
(8.695385671241709E-4, 1.9081707925975824)
(8.695385671241709E-4, 1.9081707925975824)
(0.001001036387068109, 0.9380903302624716)
(0.001001036387068109, 0.9380903302624716)
(-0.0019138591381529582, 0.6480152661737979)
(-0.0019138591381529582, 0.6480152661737979)
(-0.0014005920133824102, 0.08740676413860492)
(-0.0014005920133824102, 0.08740676413860492)
(-0.0019792073800222864, 0.286634682570444)
(-0.0019792073800222864, 0.286634682570444)
(7.750369166039877E-4, 0.8130650954294153)
(7.750369166039877E-4, 0.8130650954294153)
