(-7.451987120092096, -5.6089590349674445)
(-10.0, 0.39352948057900816)
(-1.6677227890577404, -9.56785408329646)
(-1.6312204891221844, -10.0)
(-2.1402016615247046, -9.285366070165384)
(-2.3599965795386373, -8.506790536660342)
(-7.984284914412259, 0.29762368769315994)
(-9.917182018163071, 2.064092309564014)
(-10.0, 2.8945086279843686)
(-9.9896340271587, 2.629032858310489)
(-9.50834651877498, 1.6340109470722068)
(-1.4751093317767372, -9.361755814561631)
(-1.296026578641515, -10.0)
(-1.7933959036335412, -8.5772927283202)
(-1.923349872079971, -8.460148163176585)
(-1.9859451991847386, -7.6402708318480625)
(-7.370285553904392, 1.1855211363539082)
(-3.156926652567437, 0.5534840671882378)
(-7.821944637827954, 1.4076669481076234)
(-0.5650342175450211, -10.0)
