(-7.451987120092096, -5.6089590349674445)
(-3.470338412372772, -8.433794612961568)
(-2.284770274861678, -10.0)
(-10.0, 0.0650041019059211)
(-2.6581727044764456, -8.45051394185469)
(-2.6339537917478686, -8.50777233758416)
(-2.575896876781916, -8.522667317316955)
(-2.1402016615247046, -9.285366070165384)
(-1.869666846323108, -10.0)
(-2.117705970131314, -9.44274139136328)
(-10.0, 0.39352948057900816)
(-7.984284914412259, 0.29762368769315994)
(-2.3599965795386373, -8.506790536660342)
(-2.464741637569158, -8.423914160281305)
(-1.7424742359713046, -10.0)
(-2.1079485132134295, -9.217379031619043)
(-10.0, 0.4869135200523047)
(-6.3918351610311746, 0.3613617919416354)
(-2.294176884907052, -8.436157514101179)
(-1.2510215134273013, -10.0)
