(-7.900141168552248, 8.600958092997587)
(9.511240781640247, -8.885778401142579)
(9.511240781640247, -8.885778401142579)
(-8.413822678307703, 3.016790506712592)
(-8.413822678307703, 3.016790506712592)
(9.511240781640247, -8.885778401142579)
(-0.5398489601539076, -8.467131850877985)
(-8.413822678307703, 3.016790506712592)
(-7.900141168552248, 8.600958092997587)
(9.511240781640247, -8.885778401142579)
(-8.413822678307703, 3.016790506712592)
(9.511240781640247, -8.885778401142579)
(-0.5398489601539076, -8.467131850877985)
(-0.5398489601539076, -8.467131850877985)
(-0.5398489601539076, -8.467131850877985)
(9.511240781640247, -8.885778401142579)
(-8.413822678307703, 3.016790506712592)
(-0.5398489601539076, -8.467131850877985)
(-0.5398489601539076, -8.467131850877985)
(9.511240781640247, -8.885778401142579)
