(-7.1463614172358545, -1.937507198400751)
(-7.6512213157107105, 7.600039319285826)
(-3.345685007811428, -9.804825584171061)
(-4.748503248818249, -6.64418144925536)
(-7.05236272549895, -6.3997218269929474)
(1.6266206659059659, -9.085686355531713)
(4.23135968818259, -9.635174487274218)
(-1.3762271503513863, -5.652359730471983)
(-6.0939133538159425, 8.163572861203626)
(-5.471097736993105, -5.639875300043969)
(6.191755448416682, -8.99950885873056)
(-4.295275361817969, 1.4538365469750019)
(-3.624005762531211, -2.446941244674392)
(-1.2984950875476167, -4.3493663940818434)
(-4.454035997784438, 8.575571425839227)
(7.207878600293502, -6.383109066994653)
(4.511145042410462, -3.8031778986000697)
(0.6339792613093276, -1.8698810845110052)
(10.0, -2.211967874668743)
(3.505413169001599, 14.955828261340159)
