(1.2124409404588148, -0.8680041184222373)
(-2.717507893794763, 0.44588337236635267)
(-2.3193114129548698, -1.0168330891676076)
(-3.43306372117707, 0.443207315961498)
(3.433214548150703, 2.222977062071511)
(-1.9894477694450257, 4.441378567652338)
(-2.894635065690478, -1.1229498708698706)
(0.5531333686656108, -3.021848266839662)
(-3.366553741028387, 4.474934760310328)
(3.9027917586402943, -0.7437507233617158)
(4.564427915160827, 2.282994850230412)
(-4.476379218773468, 0.5066216834277455)
(-1.4591056650579632, -2.9400885839640227)
(-3.359676448152042, -2.312197488313865)
(0.5105149149478345, -3.762937505342795)
(-4.609131973671444, -0.9835815727380037)
(-5.162095624032126, -0.2338720077332752)
(0.791975557981533, 7.474237944906238)
(-5.9691268284722, -1.4220557779438772)
(0.7914702847792814, 9.028016749867408)
