(-0.0016285696585639328, 1.9982671400560366)
(0.0029254156275919352, -0.0014635445395426638)
(-1.6530590574287667E-5, 1.7981857855415515)
(-0.048956492583042285, 0.8921644811537143)
(-0.04875783051043932, 0.3411024527645163)
(0.007109158450925503, 1.9876019930399096)
(-0.04720727744805165, 0.19144729283076228)
(0.003194087463862945, 0.09422459573999606)
(-0.05220027568648393, 1.0042131604423457)
(-0.06041943897056078, 1.5227538823682751)
(-0.048563328854009775, 0.26931326184713994)
(-0.04805561043317165, 0.7519858166402904)
(-0.050186636292104674, 0.4817596490173365)
(-0.04721635788815298, 0.7887682704794002)
(-0.06832360241988439, 1.3977678779038838)
(-2.3006060366795498E-4, 1.6637244190317473)
(0.008023004642052101, 1.7497335277350115)
(-0.07421799005922536, 1.2870994574711794)
(-0.06750476301976634, 1.2513756515173422)
(-0.05323763908757255, 0.6441690785143184)
