(-7.8051630978147255, 10.0)
(-7.764362001317941, -6.2226268914877485)
(-7.104227349243804, -6.840352174578012)
(-7.5613691891706045, -6.747370353267411)
(-7.704017247177844, -6.653830544975129)
(-7.288896429266865, -6.798456857288658)
(-7.328411658659937, -6.789873358132856)
(-7.085629047582601, -10.0)
(-7.7479771288572765, -6.629403072164313)
(-4.728862269947149, -10.0)
(-7.76155932044258, -6.088542535287572)
(-6.938921888530937, -9.918374339186883)
(-4.84997925696198, -9.928055893275626)
(-7.080652329319109, -7.628409808096781)
(-6.9419790015602345, -9.094604522103902)
(-7.105113885443075, -6.7930061146376755)
(-7.3959485641813, -6.727361880782321)
(-7.0447760768175725, -8.268001083661652)
(-6.9709141487297765, -8.538661424481361)
(-7.449734488966061, -6.14844319444031)
