(-7.8051630978147255, 10.0)
(-4.628370999496455, -10.0)
(-7.027858187072076, -8.205576176705918)
(-7.764362001317941, -6.2226268914877485)
(-7.104227349243804, -6.840352174578012)
(-6.9709141487297765, -8.538661424481361)
(-7.294952335974267, -6.69033344891944)
(-4.84997925696198, -9.928055893275626)
(-6.9419790015602345, -9.094604522103902)
(-7.5469721328382855, -6.5942775108929155)
(-4.499442652213707, -10.0)
(-6.9840878270807165, -7.614847172750149)
(-6.997563004571338, -7.134980140520718)
(-7.76155932044258, -6.088542535287572)
(-7.0213884329114435, -6.749672724020807)
(-7.199183847252343, -6.609558432462064)
(-4.68962709023879, -9.853640850047965)
(-7.366404810793426, -6.411992637267262)
(-7.335056126255367, -6.558616200610441)
(-4.399344675512205, -10.0)
