(0.0019176656534030286, 1.994772985608257)
(0.0029254156275919352, -0.0014635445395426638)
(0.12411997476321432, 0.19329327263296092)
(-0.04886353627000804, 1.3454459316514977)
(-0.05971467514649195, 1.5196658798945515)
(-0.052656057508339814, 0.9836365281907105)
(-0.04811757826602171, 1.193114077087372)
(0.16444743089464067, 0.8433975142307126)
(-0.010188875479665809, 1.8812493103159995)
(-0.0274084433109283, 1.7169338274460457)
(0.004133993707099239, 0.10681515418665778)
(0.0868730081847498, 0.580074072122912)
(-0.005124407869815008, 0.32575398858548765)
(-0.05815494605703492, 1.0769712113746146)
(-0.04975022723507301, 1.26619673417003)
(-0.02158415178304667, 0.6781934781523753)
(0.09258774010008594, 0.7919328993623984)
(0.13938113000079755, 0.5132344622637082)
(-0.024478114096805666, 1.6498957969825156)
(-0.0029724396804467843, 1.8887393898953635)
