(-6.459300727519541, 8.20219885333971)
(-3.932223841325171, -9.806914346024858)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-3.932223841325171, -9.806914346024858)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-3.932223841325171, -9.806914346024858)
(-6.981943633059389, -6.274735231397514)
(-3.932223841325171, -9.806914346024858)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-6.981943633059389, -6.274735231397514)
(-3.932223841325171, -9.806914346024858)
