(0.0014491021938707986, 1.9967015812425488)
(0.0029254156275919352, -0.0014635445395426638)
(-0.0026488007834206823, 0.1052370627643264)
(-0.04365733601646531, 0.9071794888456176)
(-0.04437145631575137, 0.7563236435243301)
(0.002993397551436195, 0.2716183097516719)
(-0.05103927291409253, 1.2084552871550938)
(-0.013528857528340342, 0.5980496754755672)
(-0.0501057186863803, 1.0626107163982323)
(2.4730054065710176E-4, 0.310224816805555)
(-0.049253045848306545, 1.0459499760842181)
(-0.03681958726595058, 1.547220247376663)
(-0.04234929510946124, 0.8209768240741138)
(-0.046119322796859985, 1.6653604702732987)
(-0.055097172097176184, 1.8187137182119557)
(0.0037146861536046256, 1.912060018741669)
(-0.0576509890629134, 1.3437239125961227)
(-0.0031426684090500702, 0.4333324286598021)
(-0.032546007776488646, 1.4508752957996822)
(-0.012355263607350273, 0.031122615843747245)
