(-7.8051630978147255, 10.0)
(-7.764362001317941, -6.2226268914877485)
(-7.104227349243804, -6.840352174578012)
(-6.9709141487297765, -8.538661424481361)
(-4.84997925696198, -9.928055893275626)
(-6.9419790015602345, -9.094604522103902)
(-7.0447760768175725, -8.268001083661652)
(-7.5613691891706045, -6.747370353267411)
(-7.704017247177844, -6.653830544975129)
(-7.050836789920585, -7.598225355889984)
(-7.288896429266865, -6.798456857288658)
(-6.983630082217299, -8.305616566717433)
(-4.728862269947149, -10.0)
(-7.76155932044258, -6.088542535287572)
(-7.027858187072076, -8.205576176705918)
(-7.388632263955588, -6.673768111053353)
(-7.5469721328382855, -6.5942775108929155)
(-7.105113885443075, -6.7930061146376755)
(-4.628370999496455, -10.0)
(-4.68962709023879, -9.853640850047965)
